# File generated by Xml2graph the edges are represented by the vertex id (IdA, IdB)and it contains also other parameter related to the edges: 
# IdA IdB flow resistance
# Global parameters: pPerf: 13300.0 ; pTerm: 7980.0
1792 761 8.33 0.02392 
274 762 8.33 0.0278004 
274 763 8.33 0.0213307 
692 764 8.33 0.0257981 
692 765 8.33 0.0402665 
553 766 33.32 0.114448 
553 767 8.33 0.0331026 
99 768 8.33 0.0303673 
99 769 33.32 0.113388 
332 770 3115.42 1.46217 
332 771 33.32 0.0946422 
1076 772 133.28 0.249109 
1076 773 8.33 0.0199283 
1306 774 8.33 0.0262478 
1306 775 16.66 0.0620939 
364 776 749.7 0.703272 
364 777 8.33 0.0114573 
80 778 558.11 0.548304 
80 779 8.33 0.0250011 
3 780 2790.55 1.40224 
3 781 8.33 0.0487281 
311 782 8.33 0.0390282 
311 783 24.99 0.095306 
848 784 33.32 0.0781531 
848 785 8.33 0.0408017 
1120 786 733.04 0.655494 
1120 787 8.33 0.0573495 
1562 788 183.26 0.307837 
1562 789 8.33 0.0604884 
325 790 8.33 0.00793554 
325 791 24.99 0.0943386 
126 792 33.32 0.0925862 
126 793 8.33 0.0183747 
102 794 1132.88 0.825388 
102 795 8.33 0.0351505 
634 796 8.33 0.0236229 
634 797 8.33 0.0265202 
90 798 374.85 0.461413 
90 799 8.33 0.0415627 
746 800 8.33 0.0132914 
746 801 8.33 0.0326631 
627 802 24.99 0.0691983 
627 803 8.33 0.0235362 
384 804 66.64 0.173811 
384 805 16.66 0.0397842 
1136 806 16.66 0.029904 
1136 807 8.33 0.0398522 
398 808 91.63 0.171558 
398 809 8.33 0.040062 
1164 810 24.99 0.0677033 
1164 811 8.33 0.0568588 
463 812 8.33 0.00464318 
463 813 8.33 0.0642389 
1530 814 49.98 0.129757 
1530 815 8.33 0.0152133 
1426 816 141.61 0.284206 
1426 817 8.33 0.0297426 
1696 818 24.99 0.0570139 
1696 819 16.66 0.0765237 
69 820 8.33 0.00660591 
69 821 8.33 0.0661306 
743 822 8.33 0.0095014 
743 823 8.33 0.0607219 
1378 824 824.67 0.708113 
1378 825 33.32 0.106139 
1380 826 24.99 0.090162 
1380 827 8.33 0.00586657 
30 828 141.61 0.261829 
30 829 8.33 0.0163141 
246 830 33.32 0.113133 
246 831 8.33 0.0212876 
167 832 16.66 0.0679791 
167 833 16.66 0.0767359 
722 834 16.66 0.0632315 
722 835 8.33 0.0422961 
1898 836 41.65 0.0930208 
1898 837 8.33 0.0208128 
769 838 8.33 0.0261424 
769 839 24.99 0.0784767 
66 840 508.13 0.547582 
66 841 24.99 0.0775868 
24 842 283.22 0.363351 
24 843 8.33 0.0646934 
1010 844 8.33 0.0316817 
1010 845 8.33 0.0321791 
1578 846 8.33 0.0214386 
1578 847 8.33 0.0334076 
638 848 41.65 0.0972325 
638 849 8.33 0.0643204 
474 850 674.73 0.563699 
474 851 16.66 0.0510584 
616 852 58.31 0.12536 
616 853 16.66 0.0512248 
1536 854 33.32 0.0935867 
1536 855 8.33 0.00221526 
1364 856 24.99 0.0710711 
1364 857 8.33 0.048502 
542 858 116.62 0.215838 
542 859 16.66 0.0484183 
19 860 216.58 0.324103 
19 861 8.33 0.0547801 
396 862 16.66 0.0622387 
396 863 8.33 0.00959707 
288 864 8.33 0.012195 
288 865 8.33 0.0567774 
26 866 358.19 0.427532 
26 867 8.33 0.0107468 
287 868 24.99 0.0678853 
287 869 8.33 0.0208179 
668 870 16.66 0.0293579 
668 871 8.33 0.0429918 
221 872 49.98 0.153883 
221 873 8.33 0.0563635 
674 874 41.65 0.103016 
674 875 8.33 0.0671399 
1488 876 224.91 0.341358 
1488 877 8.33 0.0281985 
1800 878 8.33 0.0464235 
1800 879 16.66 0.0563137 
1324 880 8.33 0.0245877 
1324 881 16.66 0.0530073 
852 882 49.98 0.110071 
852 883 8.33 0.0500919 
452 884 24.99 0.0640852 
452 885 16.66 0.0836118 
547 886 33.32 0.0776532 
547 887 33.32 0.0968973 
1460 888 8.33 0.0151502 
1460 889 8.33 0.0544716 
441 890 24.99 0.0773854 
441 891 8.33 0.0116568 
890 892 16.66 0.029739 
890 893 8.33 0.0390944 
138 894 2099.16 1.17677 
138 895 8.33 0.039993 
714 896 366.52 0.409495 
714 897 8.33 0.0289716 
271 898 16.66 0.0436431 
